Category,Action Title,Description,Impact Scale,Star
User Research & Discovery,Stakeholder Interviews,"Conducting structured conversations to understand project goals and constraints.",17,
User Research & Discovery,Surveys & Questionnaires,"Gathering broad feedback or preferences from a large audience.",16,
User Research & Discovery,Focus Groups,"Facilitating group discussions to explore user needs and attitudes.",16,
User Research & Discovery,Ethnographic Research,"Observing users in real-life settings to uncover contextual insights.",17,
User Research & Discovery,Competitive Analysis,"Reviewing similar products for design trends and differentiation opportunities.",16,
User Research & Discovery,Persona Creation,"Building representative user profiles to guide design decisions.",18,
User Research & Discovery,Empathy Mapping,"Visualizing user emotions, thoughts, and motivations for better understanding.",17,
User Research & Discovery,User Journey Mapping,"Charting step-by-step interactions to identify pain points and opportunities.",18,
User Research & Discovery,Contextual Inquiry,"Interviewing users in their environment to see how they perform tasks.",16,
User Research & Discovery,Exploratory Research,"Uncovering unknown areas and shaping initial design directions.",15
Information Architecture,Content Audit,"Cataloging existing content to identify gaps and redundancies.",16,
Information Architecture,Card Sorting,"Engaging users to group and label content for intuitive navigation.",17,
Information Architecture,Sitemap Creation,"Mapping the overall structure of pages or screens.",18,
Information Architecture,Taxonomy Development,"Defining classification systems for clear organization and retrieval.",16,
Information Architecture,Navigation Structure,"Designing menus and pathways for easy user exploration.",18,
Information Architecture,Labeling & Naming Conventions,"Using consistent, meaningful terminology for clarity.",16,
Information Architecture,Wireflow Planning,"Combining wireframes with user flows to visualize navigation paths.",17,
Information Architecture,Metadata & Tagging,"Defining descriptive tags to improve content findability.",15,
Information Architecture,Workflow Diagrams,"Detailing process flows to optimize task completion steps.",17,
Information Architecture,Hierarchy Validation,"Confirming that the structure matches user mental models.",16
Wireframing & Prototyping,Low-Fidelity Wireframes,"Quick sketches to outline basic layouts and information placement.",18,
Wireframing & Prototyping,Mid-Fidelity Wireframes,"Refined layouts showing clearer content hierarchy.",17,
Wireframing & Prototyping,High-Fidelity Mockups,"Detailed, polished visuals close to final design.",19,★
Wireframing & Prototyping,Rapid Prototyping,"Quick interactive drafts to test core flows or interactions.",18,
Wireframing & Prototyping,Interactive Click-Throughs,"Linking screens for basic simulated user navigation.",17,
Wireframing & Prototyping,Prototype Testing,"Evaluating early designs with stakeholders or users.",18,
Wireframing & Prototyping,Annotating Design Specs,"Documenting functionality and rationale for dev hand-off.",17,
Wireframing & Prototyping,Iterative Refinements,"Continuously evolving wireframes/prototypes based on feedback.",17,
Wireframing & Prototyping,Version Control for Designs,"Organizing multiple design versions in a system like Figma or Git.",17,
