Category,Action Title,Description,Impact Scale,Star
Literature Review & Secondary Data Gathering,Systematic Literature Search,"Conducting comprehensive searches across academic databases and reputable sources.",17,
Literature Review & Secondary Data Gathering,Market Intelligence Gathering,"Collecting key market or industry insights to inform strategic decisions.",17,
Literature Review & Secondary Data Gathering,Reference Management,"Organizing citations and sources using tools like EndNote or Zotero.",15,
Literature Review & Secondary Data Gathering,Benchmarking Existing Studies,"Comparing current findings with established research benchmarks.",16,
Literature Review & Secondary Data Gathering,White Paper & Industry Report Analysis,"Reviewing authoritative reports for trends, stats, and expert perspectives.",16,
Literature Review & Secondary Data Gathering,Secondary Database Mining,"Extracting relevant information from existing data repositories.",17,
Literature Review & Secondary Data Gathering,Publication Quality Assessment,"Evaluating the credibility and rigor of journals or studies.",16,
Literature Review & Secondary Data Gathering,Gap Identification,"Pinpointing unaddressed areas that present research opportunities.",19,★
Literature Review & Secondary Data Gathering,Annotating Research Summaries,"Summarizing key points and insights for quick reference.",15,
Literature Review & Secondary Data Gathering,Maintaining a Knowledge Repository,"Storing and organizing research documents for team access.",16
Hypothesis Formulation & Study Design,Problem Statement & Scope Definition,"Clarifying research questions and boundaries of the project.",16,
Hypothesis Formulation & Study Design,Hypothesis Generation,"Formulating testable statements based on observed gaps or theories.",19,★
Hypothesis Formulation & Study Design,Study/Project Protocol,"Drafting a formal plan outlining objectives, methodology, and timelines.",17,
Hypothesis Formulation & Study Design,Method Selection (Qual vs. Quant),"Choosing appropriate qualitative or quantitative approaches.",17,
Hypothesis Formulation & Study Design,Sample Size Determination,"Calculating required participants or data points for valid results.",16,
Hypothesis Formulation & Study Design,Control & Experimental Group Setup,"Defining baseline and treatment conditions for comparative studies.",17,
Hypothesis Formulation & Study Design,Variables Operationalization,"Translating abstract concepts into measurable indicators.",16,
Hypothesis Formulation & Study Design,Pilot Testing & Feasibility,"Conducting small-scale trials to refine methodology or uncover issues.",17,
Hypothesis Formulation & Study Design,Ethical Review Submission,"Preparing documents for institutional ethics committees or IRBs.",16,
Hypothesis Formulation & Study Design,Risk Assessment & Mitigation,"Identifying potential pitfalls and crafting preventative measures.",18,
Data Collection & Fieldwork,Survey Creation & Administration,"Designing questionnaires and distributing them to target respondents.",16,
Data Collection & Fieldwork,Interviews & Focus Groups,"Facilitating discussions for in-depth qualitative insights.",17,
Data Collection & Fieldwork,Observational Studies,"Recording real-world behaviors in lab or natural settings.",16,
Data Collection & Fieldwork,Web Scraping & Data Harvesting,"Gathering online information through automated or manual techniques.",17,
Data Collection & Fieldwork,Experimental Setup & Execution,"Implementing study conditions and collecting controlled data.",19,★
Data Collection & Fieldwork,Questionnaire Pre-Testing,"Evaluating survey clarity and reliability with a small sample.",16,
Data Collection & Fieldwork,Data Quality Control & Validation,"Ensuring collected data meets accuracy and completeness standards.",18,
Data Collection & Fieldwork,Remote Data Collection Tools,"Using platforms (e.g., online surveys, teleconferencing) for distributed studies.",16,
Data Collection & Fieldwork,Lab or On-Site Logistics,"Coordinating equipment, space, and participant scheduling.",16,
Data Collection & Fieldwork,Contingency Planning,"Preparing backup measures for unexpected challenges in data gathering.",17,
Data Analysis & Statistical Tools,Data Cleaning & Preparation,"Removing errors, duplicates, and inconsistencies from raw datasets.",16,
Data Analysis & Statistical Tools,Descriptive Statistics,"Summarizing data (means, medians, standard deviations) to observe patterns.",16,
Data Analysis & Statistical Tools,Inferential Statistics & Hypothesis Testing,"Drawing conclusions about populations using tests (t-tests, ANOVA, etc.).",17,
